16.9;1076;0;290878;81;36191;1006.17
14.6;778;23900;6859;80.8;0;682.66
12.5;889;25500;23329;80.6;31635;652.5
27.5;48089;23000;34250;79.9;0;741.42
17.4;599;22800;27162;80.8;210;1108.16
17.6;766;23700;29372;81.4;1035;1250.81
11.6;1268;25200;21004;81.4;430;938.75
14.4;789;25700;48616;82.1;1730;757.51
16.3;604;25100;83394;82.2;1151;762.9
21.9;1563;27700;16892;82.1;0;614.39
19.5;3773;0;61023;81;35386;1806.04
37.8;75267;20600;18221;80.8;0;2178.42
13.2;4928;24679.01;31623;82;27022;1582.01
24.6;2166;20868.68;11179;79.3;8364;2087.94
32.1;634;0;127052;74.4;12005;1253.26
36.6;513;0;95947;73.8;4927;1160.67
42.7;390;5700;3374;73.2;0;1025.88
34.6;531;6900;4868;73.8;0;1141.64
31.6;637;7200;37232;74.1;2069;1191.52
38.2;525;7400;50473;73.9;2858;1243.02
27.6;828;0;31105;75.1;0;1344.52
20.9;1037;14700;18661;75.1;7078;1617.28
37.5;637;7100;12444;75.1;0;938.41
18.8;2151;0;0;83.1;49490;1069.48
25.4;1997;0;0;83.4;17829;1332.53
21;1930;0;0;82.6;22;1086.62
17.4;6030;0;0;83.2;0;809.46
13.3;9251;0;0;83.3;31476;748.4
15.3;1046;0;0;82.9;107;1066.89
14.2;1919;0;0;83.3;0;812
26.7;1289;0;0;84.3;56;2620.27
22.3;957;0;43792;82.1;11261;263.51
12.5;1382;0;141110;78.3;18833;1854.98
7.9;27143;22600;37029;80;17839;1671.86
9.6;1285;17500;8629;78.1;0;1878.51
9.6;718;15200;16576;78.4;0;1745.57
21.5;1317;13900;18660;76.5;62;1591.03
12.9;1237;15000;23582;78.6;99;2096.18
12.5;1240;15500;17414;78.9;526;1719.94
12.9;1332;14200;11912;78.3;0;2064.1
14.9;2262;14100;7308;77.2;307;2062.41
16.3;1385;0;51633;80.3;36043;408.91
17.5;7560;24900;25155;80.4;30135;624.04
12.3;1183;20400;3230;79.7;6;346.33
16.6;1020;19600;10206;80.4;3847;241.19
16.3;1037;20800;7776;80.6;612;332.49
17.7;764;19400;5266;80;1443;344.11
30;824;0;0;81.1;64521;707.37
24.8;9875;0;0;80.5;25578;758.24
24.8;9875;14800;0;80.5;25578;758.24
33.2;696;0;0;81.9;24416;309.02
35.5;593;10400;0;82.1;1348;479.27
34.5;661;15100;0;82;12312;230.21
31.6;765;11400;0;81.8;10756;290.65
32.3;605;0;0;81.4;7376;960.36
35.2;428;9800;0;80.7;556;793.5
31.7;1012;11000;0;81.2;6679;1124.4
34.8;288;11400;0;82.4;8;903.01
27.6;368;10600;0;82.9;133;384.08
33.2;465;0;0;81.4;7151;528.27
28;514;10100;0;81.8;469;823.64
25.7;894;14500;0;80.6;5560;241.2
40.9;592;9500;0;81.1;764;509.93
29.5;361;10000;0;81.6;17;447.84
36.4;371;10400;0;81.4;341;360.04
25.3;938;0;933500;82.7;264029;2358.78
23.7;952;0;70305;82.5;7824;1065.32
24.3;920;14800;42402;82.6;5248;604.97
24.6;966;15200;15938;82.1;1405;1447.64
19.4;1105;16200;11965;82.9;1171;2532.68
16;639;0;50755;83.3;6938;1272.51
14.4;3037;21400;16636;83.4;6353;1507.9
11.7;631;20100;7155;83.6;240;1541.49
15.2;626;17700;3658;83.2;0;1997.27
21.1;279;18000;23306;82.9;345;580.31
19;8397;0;61673;84.7;59747;1841.54
19;8397;23700;61673;84.7;59747;1841.54
26;258;0;67008;83.1;242;1952.32
16.7;256;15800;36888;83.5;242;2104.69
30.7;258;13800;19307;83;0;2122.16
37.7;260;12000;10813;82.1;0;1280.63
21.4;2299;0;411646;82.6;118379;1061.8
18.8;2381;20300;163872;82.9;54693;1217.4
27;2162;14800;72404;82.1;23401;970.31
15.1;2412;18600;175370;82.8;40285;458.4
36.9;1031;0;158905;81.4;30864;686.7
37.7;974;12600;146971;81.3;30414;708.53
31.9;1324;13700;11094;82.2;22;640.59
45.9;42229;14000;399;80.7;0;1355.77
38.5;60415;13000;441;80.2;428;1148.3
35;2994;0;113208;82;40035;230.22
35;2994;14100;113208;82;40035;230.22
11.5;1847;24000;18116;81.6;22049;278.74
16.3;366;18000;9134;80.7;455;107.07
19.3;63;16800;20400;80.3;3018;71.19
17.1;4475;0;24971;76.8;0;1943.02
15.6;34338;16700;21235;77.6;16100;1960.9
19.1;2051;13000;3736;75.6;0;1918.89
17.8;822;0;31221;75.4;0;1938.65
13.5;991;12800;8400;75.1;0;1964.64
16.3;886;12100;13954;76;0;1980.8
24.6;637;10300;8867;75.2;0;1859.19
21.1;779;0;18815;74.7;0;1705.55
23.9;844;9700;6724;73.9;0;1733.45
24.2;831;10200;7008;74.7;601;1679.54
14.9;681;11800;5083;75.4;0;1710.67
16.4;2822;0;185804;82.8;0;936.91
16.7;1723;21800;39763;82.2;3997;2004.54
8.1;386;21000;10818;81.5;0;3207.13
17.6;2843;20700;33376;82.2;1539;2136.64
16.2;4358;25400;101847;83.2;49096;267.16
41.6;1885;0;187826;82.1;0;678.11
25;1205;15700;24794;82.8;699;1109.02
38.1;682;13900;2997;82.5;0;861.85
49.7;4222;12600;58326;81.1;10834;637.76
37.4;2068;13100;46401;82.9;8294;774.54
34.7;557;13400;8546;82.4;0;576.59
39.8;1265;11400;46762;82.4;3536;304.63
43.6;1326;0;101149;82;0;655.32
48.7;1921;12100;54727;81.6;18182;676.06
28.1;683;13900;46422;82.9;9097;592.57
13.2;1923;0;399659;83.1;0;1914.25
11.1;2820;21600;112193;83.2;18404;1782.08
13.8;1599;21200;20462;82.7;780;1905.96
15.5;2019;24000;146367;83.1;9905;2076.56
21.4;2075;0;218320;83.1;0;974.38
18.7;1627;20500;86647;83.2;8233;1115.22
13.3;1055;18100;14060;83.6;218;863.05
19.1;1619;18900;28122;83.5;482;1252.09
24.8;3430;20600;89491;82.9;49250;827.87
